SYMBOL,DAY1_PCT_CHANGE,DAY2_PCT_CHANGE,DELTA_PCT_CHANGE,TREND
JNPR,15.43,-3.65,-19.08,down
JOCIL,1.73,-1.71,-3.44,down
JPOLYINVST,2.08,0.04,-2.04,down
JSLL,4.32,-1.02,-5.34,down
JSWDULUX,1.82,-2.12,-3.9400000000000004,down
JUBLINGREA,1.46,-2.21,-3.67,down
JWL,1.26,-0.8,-2.06,down
KABRAEXTRU,5.11,-6.07,-11.18,down
KAMDHENU,1.27,0.37,-0.9,down
KANORICHEM,1.04,-0.91,-1.9500000000000002,down
KAUSHALYA,2.94,-0.77,-3.71,down
KAYTEX,2.0,0.77,-1.23,down
KEEPLEARN,3.57,-3.94,-7.51,down
KHAICHEM,1.67,-2.91,-4.58,down
KHAITANLTD,1.18,-0.57,-1.75,down
KIRIINDUS,4.14,-1.98,-6.119999999999999,down
KNAGRI,1.78,-2.92,-4.7,down
KNRCON,5.56,-0.26,-5.819999999999999,down
KOKUYOCMLN,1.89,-5.49,-7.38,down
KOTHARIPET,3.75,-0.01,-3.76,down
KOTYARK,4.99,0.74,-4.25,down
KPL,3.63,-1.52,-5.15,down
KRISHNADEF,3.23,0.38,-2.85,down
KRITINUT,5.54,-4.28,-9.82,down
KRONOX,3.12,-1.94,-5.0600000000000005,down
KSOLVES,1.16,-1.04,-2.2,down
KUSUMGAR,1.66,-1.53,-3.19,down
KWIL,7.04,0.11,-6.93,down
LAKPRE,2.97,,,flat
LAL,4.14,-0.23,-4.37,down
LALPATHLAB,2.17,0.19,-1.98,down
LATTEYS,3.19,0.15,-3.04,down
LAXMICOT,4.38,0.07,-4.31,down
LCL,3.42,-0.22,-3.64,down
LEMERITE,1.75,-1.6,-3.35,down
LICMFGOLD,2.31,0.98,-1.33,down
LMW,1.61,-0.04,-1.6500000000000001,down
LOKESHMACH,2.0,-0.13,-2.13,down
LORDSCHLO,1.4,-0.35,-1.75,down
LOTUSDEV,1.34,-5.0,-6.34,down
LOYALTEX,2.16,0.22,-1.9400000000000002,down
MAANALU,1.19,-3.36,-4.55,down
MADHUCON,1.74,0.76,-0.98,down
