SYMBOL,full_pct_change_2026-08-06,top_gainers_2026-08-06,top_losers_2026-08-06,CURRENT_UP_STREAK
BORANA,4.58,,,0
BOROLTD,1.96,,,0
BORORENEW,-0.47,,,0
BOROSCI,-1.29,,,0
BOSCH-HCIL,7.97,,,0
BOSCHLTD,-2.14,,,0
BOSS,4.91,,,0
BPCL,-0.78,,,0
BPL,-0.02,,,0
BRACEPORT,-5.27,,,0
BRANDMAN,4.67,,,0
BRIGADE,0.29,,,0
BRIGHOTEL,0.65,,,0
BRITANNIA,-0.66,,,0
BRNL,0.74,,,0
BROOKS,-0.4,,,0
BSE,-2.82,,,0
BSE500IETF,0.55,,,0
BSHSL,-1.1,,,0
BSL,-1.85,,,0
BSLGOLDETF,2.44,,,0
BSLNIFTY,0.87,,,0
BSLSENETFG,0.35,,,0
BSOFT,-1.67,,,0
BTML,8.93,,,0
BTTL,-4.45,,,0
BUILDPRO,-0.93,,,0
BULKCORP,2.92,,,0
BUTTERFLY,2.1,,,0
BVCL,1.65,,,0
BYKE,-0.52,,,0
C2C,0.41,,,0
CALSOFT,0.7,,,0
CAMLINFINE,-1.23,,,0
CAMPUS,-3.33,,,0
CAMS,-1.53,,,0
CANARYS,-1.06,,,0
CANBK,2.16,,,0
CANFINHOME,-0.4,,,0
CANHLIFE,0.41,,,0
CANTABIL,-7.2,,-7.2,0
CAPACITE,1.84,,,0
CAPILLARY,0.74,,,0
CAPINVIT,0.17,,,0
CAPITALSFB,-0.17,,,0
CAPLIPOINT,1.73,,,0
CAPTRUST,-3.1,,,0
CARBORUNIV,-1.16,,,0
CARERATING,-1.09,,,0
CARRARO,1.16,,,0
CARTRADE,-1.89,,,0
CARYSIL,1.91,,,0
CASHIETF,0.01,,,0
CASTROLIND,1.37,,,0
CBAZAAR,-4.96,,,0
CCAVENUE,-0.75,,,0
CCCL,-0.57,,,0
CCHHL,-1.16,,,0
CCL,-0.68,,,0
CDSL,0.34,,,0
CEATLTD,1.4,,,0
CEDAAR,-2.08,,,0
CEIGALL,-2.87,,,0
CEINSYS,-1.58,,,0
CELEBRITY,-3.46,,,0
CELLECOR,-1.1,,,0
CELLO,-4.94,,,0
CELLPOINT,0.0,,,0
CEMNTGROWW,-0.64,,,0
CEMPRO,-4.04,,,0
CENTENKA,-1.67,,,0
CENTEXT,-1.73,,,0
CENTRALBK,0.7,,,0
CENTRUM,2.41,,,0
CENTUM,0.02,,,0
