SYMBOL,CLOSE,PREV_CLOSE,PCT_CHANGE
SYSTMTXC,60.5,59.55,1.6
BHARTIHEXA,1538.8,1514.5,1.6
VIYASH,277.0,272.65,1.6
TEXMOPIPES,43.51,42.83,1.59
AURUM,226.01,222.48,1.59
NEWGEN,551.0,542.4,1.59
ZODIACLOTH,77.63,76.42,1.58
SHRIKRISH,42.96,42.29,1.58
SCHAND,145.31,143.07,1.57
SANDHAR,666.65,656.35,1.57
LAMOSAIC,55.05,54.2,1.57
EMAPARTNER,81.0,79.75,1.57
SHRIPISTON,4392.8,4325.4,1.56
BBTCL,225.3,221.83,1.56
COHANCE,445.75,438.9,1.56
PTC,203.3,200.17,1.56
RHETAN,33.36,32.85,1.55
HEXT,564.6,556.0,1.55
ZEEMEDIA,7.21,7.1,1.55
TATACHEM,673.55,663.3,1.55
EUROPRATIK,314.1,309.35,1.54
CRIZAC,187.98,185.12,1.54
SINDHUTRAD,24.56,24.19,1.53
SMALLGROWW,49.04,48.3,1.53
CIFL,21.88,21.55,1.53
ITADD,33.42,32.92,1.52
RECLTD,367.0,361.5,1.52
FELIX,181.3,178.6,1.51
TVSMOTOR,4440.9,4375.0,1.51
NIDAN,13.45,13.25,1.51
WONDERLA,493.15,485.8,1.51
ITAXIS,347.78,342.62,1.51
915APSBC31,105064.5,103500.0,1.51
AIMTRON,1656.4,1631.95,1.5
FISCHER,38.01,37.45,1.5
THOMASCOTT,315.15,310.5,1.5
FORCAS,187.1,184.35,1.49
HATSUN,941.1,927.25,1.49
MOS,10.2,10.05,1.49
MANKIND,2456.0,2420.3,1.48
SUNDRMBRAK,787.0,775.5,1.48
ARTEMISMED,316.3,311.7,1.48
SUMICHEM,532.95,525.2,1.48
SOCL,27.5,27.1,1.48
675GS2029,101.47,100.0,1.47
SCHNEIDER,1354.8,1335.2,1.47
BELRISE,248.21,244.61,1.47
CLSL,69.0,68.0,1.47
SCML,83.0,81.8,1.47
HSBCGOLD,130.48,128.59,1.47
SURAJLTD,221.9,218.68,1.47
MEDPLUS,700.25,690.2,1.46
HIMATSEIDE,80.69,79.53,1.46
SPCON,152.6,150.4,1.46
GOPAL,277.9,273.9,1.46
GAYAPROJ,20.09,19.8,1.46
PSFL,31.45,31.0,1.45
FERMENTA,560.6,552.6,1.45
ANANDRATHI,2101.5,2071.5,1.45
KALPATARU,287.1,283.0,1.45
VIMTALABS,651.25,641.95,1.45
SHBAJRG,181.35,178.76,1.45
JKIL,498.9,491.75,1.45
CPPLUS,3708.7,3656.2,1.44
UNIINFO,12.05,11.88,1.43
OSWALSEEDS,10.63,10.48,1.43
ASTRAZEN,8191.0,8075.5,1.43
LUMAXTECH,1722.4,1698.3,1.42
SANGHVIMOV,488.4,481.55,1.42
10IIFL29,1024.35,1010.0,1.42
GEMAROMA,185.46,182.87,1.42
PURVA,212.37,209.41,1.41
MGL,1139.6,1123.7,1.41
VEDL,278.85,275.0,1.4
GINNIFILA,45.57,44.94,1.4
VLSFINANCE,265.1,261.45,1.4
DATAMATICS,865.15,853.25,1.39
HAVISHA,1.46,1.44,1.39
KALYANKJIL,606.3,598.0,1.39
UTSSAV,515.0,508.0,1.38
KOTARISUG,26.43,26.07,1.38
JISLDVREQS,23.47,23.15,1.38
SGBJUL27,14798.99,14599.0,1.37
HOACFOODS,729.95,720.05,1.37
CLCIND,56.43,55.67,1.37
THELEELA,518.0,511.0,1.37
GLOBAL,101.84,100.47,1.36
79NHIT47,421.7,416.03,1.36
NGIL,39.04,38.52,1.35
AZAD,2489.0,2455.8,1.35
LOTUSEYE,118.82,117.24,1.35
GROWWEV,34.05,33.6,1.34
FINBUD,140.2,138.35,1.34
MUKKA,23.41,23.1,1.34
TAKE,22.69,22.39,1.34
SMLT,69.4,68.48,1.34
ORKLAINDIA,566.85,559.35,1.34
CALSOFT,22.01,21.72,1.34
AUROIMPEX,26.5,26.15,1.34
UFO,68.76,67.86,1.33
935MOFSL29,1037.0,1023.41,1.33
KLL,22.9,22.6,1.33
NRL,116.9,115.36,1.33
KROSS,202.75,200.09,1.33
ITETF,33.42,32.98,1.33
FMGOETZE,492.25,485.8,1.33
SLONE,145.0,143.1,1.33
GHCLTEXTIL,121.59,120.0,1.33
INDIANB,889.5,877.9,1.32
NXST,168.11,165.92,1.32
PETRONET,280.6,276.95,1.32
MUNISH,81.05,80.0,1.31
DOLPHIN,411.05,405.75,1.31
HYBRIDFIN,17.73,17.5,1.31
PROTEAN,565.95,558.65,1.31
SVLL,758.95,749.1,1.31
AARTIDRUGS,416.2,410.85,1.3
PROSTARM,146.01,144.13,1.3
HALEOSLABS,1457.4,1438.7,1.3
INDIACEM,398.15,393.05,1.3
ANONDITA,1040.7,1027.4,1.29
PILANIINVS,4370.7,4315.0,1.29
RUBICON,1553.2,1533.4,1.29
APLAPOLLO,1970.0,1945.0,1.29
NCC,145.59,143.73,1.29
SIGMAADV,700.95,692.05,1.29
MCL,58.31,57.57,1.29
JMA,88.41,87.29,1.28
RMDRIP,18.13,17.9,1.28
ASHAPURMIN,738.35,729.1,1.27
ANKITMETAL,1.59,1.57,1.27
BRACEPORT,71.95,71.05,1.27
MAZDA,231.23,228.35,1.26
HGS,428.4,423.05,1.26
SGBN28VIII,14799.0,14614.32,1.26
SILGO,70.17,69.3,1.26
