TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-07,2026-08-07,CM,NSE,STK,19503,INE388G01026,TICL,BE,,,,,TWAMEV CONS AND INFRA LTD,10.7,10.76,10.0,10.57,10.5,10.25,,10.68,,,134459,1424272.11,253,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,25626,INE152C01025,UYFINCORP,EQ,,,,,U. Y. FINCORP LIMITED,19.2,22.34,19.02,20.36,20.38,19.2,,20.36,,,3974832,84655231.25,12116,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,3570,INE139B01016,UCAL,EQ,,,,,UCAL LIMITED,117.01,118.99,115.11,118.46,118.01,117.01,,118.52,,,5359,632339.67,255,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,755996,INE583D07562,10UCL26,ND,,,,,UCL 10.00% SR I,997.2,997.2,997.2,997.2,997.2,997.2,,997.6,,,10,9972.0,1,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,756002,INE583D07588,1025UCL27A,NG,,,,,UCL 10.25% SR IV,975.2,975.2,975.2,975.2,975.2,1000.45,,975.2,,,2,1950.4,1,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,755998,INE583D07570,1039UCL26,NE,,,,,UCL 10.39% SR II,1021.7,1021.7,1021.7,1021.7,1021.7,1026.0,,1021.7,,,1,1021.7,1,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,756004,INE583D07596,1050UCL28,NH,,,,,UCL 10.50% SR V,1034.0,1034.0,1034.0,1034.0,1034.0,1025.0,,1034.0,,,5,5170.0,1,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,11223,INE691A01018,UCOBANK,EQ,,,,,UCO BANK,26.5,26.54,26.35,26.4,26.4,26.64,,26.4,,,2882482,76243336.21,8768,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,14871,INE0N0Y01013,USK,EQ,,,,,UDAYSHIVAKUMAR INFRA LTD,22.33,23.46,22.0,22.19,22.3,22.9,,22.21,,,19714,442214.24,207,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,1053,INE516A01017,UFLEX,EQ,,,,,UFLEX LIMITED,480.9,503.9,480.1,488.7,486.0,483.9,,488.72,,,262987,129755795.85,7276,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,9039,INE527H01019,UFO,EQ,,,,,UFO MOVIEZ INDIA LTD.,68.01,69.45,67.35,68.76,68.4,67.86,,68.81,,,30854,2109781.58,578,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,5313,INE583D01011,UGROCAP,EQ,,,,,UGRO CAPITAL LIMITED,96.79,96.79,94.1,95.08,95.0,96.16,,95.08,,,451590,42823583.95,2199,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,23507,INE899L01030,UEL,EQ,,,,,UJAAS ENERGY LIMITED,257.79,257.79,257.79,257.79,257.79,245.52,,264.96,,,20964,5404309.56,322,F1,1,,,,,
